Energy (MeV),Range_SRIM_NIST (um),Range_Fitting (um),Residual (%)
1.0000E-04,1.5000E-03,1.4184E-03,5.4
1.5000E-04,2.2000E-03,2.1963E-03,0.2
2.0000E-04,3.0000E-03,3.0041E-03,0.1
3.0000E-04,4.5000E-03,4.6934E-03,4.3
5.0000E-04,8.0000E-03,8.3090E-03,3.9
7.0000E-04,1.2000E-02,1.2181E-02,1.5
1.0000E-03,1.8000E-02,1.8383E-02,2.1
1.5000E-03,3.0000E-02,2.9595E-02,1.4
2.0000E-03,4.2000E-02,4.1727E-02,0.6
3.0000E-03,7.0000E-02,6.8301E-02,2.4
5.0000E-03,1.3000E-01,1.2897E-01,0.8
7.0000E-03,2.0000E-01,1.9786E-01,1.1
1.0000E-02,3.2000E-01,3.1396E-01,1.9
1.5000E-02,5.5000E-01,5.3595E-01,2.6
2.0000E-02,8.0000E-01,7.8813E-01,1.5
3.0000E-02,1.4000E+00,1.3685E+00,2.3
5.0000E-02,2.8000E+00,2.7779E+00,0.8
7.0000E-02,4.5000E+00,4.4602E+00,0.9
1.0000E-01,7.5000E+00,7.4086E+00,1.2
1.5000E-01,1.3000E+01,1.3273E+01,2.1
2.0000E-01,2.0000E+01,2.0146E+01,0.7
3.0000E-01,3.6000E+01,3.6435E+01,1.2
5.0000E-01,7.5000E+01,7.7352E+01,3.1
7.0000E-01,1.2000E+02,1.2742E+02,6.2
1.0000E+00,2.0000E+02,2.1680E+02,8.4
1.5000E+00,3.8000E+02,3.9770E+02,4.7
2.0000E+00,5.8000E+02,6.1253E+02,5.6
3.0000E+00,1.1000E+03,1.1277E+03,2.5
5.0000E+00,2.5000E+03,2.4388E+03,2.4
7.0000E+00,4.2000E+03,4.0580E+03,3.4
1.0000E+01,7.5000E+03,6.9676E+03,7.1
1.5000E+01,1.4000E+04,1.2893E+04,7.9
2.0000E+01,2.2000E+04,1.9961E+04,9.3
3.0000E+01,4.2000E+04,3.6980E+04,12.0
5.0000E+01,8.5000E+04,8.0476E+04,5.3
7.0000E+01,1.4000E+05,1.3436E+05,4.0
1.0000E+02,2.4000E+05,2.3139E+05,3.6
1.5000E+02,4.2000E+05,4.2938E+05,2.2
2.0000E+02,6.2000E+05,6.6589E+05,7.4
3.0000E+02,1.1000E+06,1.2361E+06,12.4
