Energy (MeV),Uncovered 2pi (cm-2 MeV-1),50um (0.05mm) 2pi (cm-2 MeV-1),100um (0.10mm) 2pi (cm-2 MeV-1),150um (0.15mm) 2pi (cm-2 MeV-1),200um (0.20mm) 2pi (cm-2 MeV-1)
1.000000E-04,0.000000E+00,3.769020E+09,1.512797E+09,8.893464E+08,6.054666E+08
1.084366E-04,0.000000E+00,3.799123E+09,1.524882E+09,8.964510E+08,6.103035E+08
1.175850E-04,0.000000E+00,3.830360E+09,1.537421E+09,9.038232E+08,6.153226E+08
1.275051E-04,0.000000E+00,3.862780E+09,1.550436E+09,9.114747E+08,6.205318E+08
1.382622E-04,0.000000E+00,3.896433E+09,1.563946E+09,9.194175E+08,6.259394E+08
1.499268E-04,0.000000E+00,3.931374E+09,1.577973E+09,9.276643E+08,6.315540E+08
1.625756E-04,0.000000E+00,3.967659E+09,1.592539E+09,9.362284E+08,6.373847E+08
1.762914E-04,0.000000E+00,4.005345E+09,1.607669E+09,9.451235E+08,6.434406E+08
1.911644E-04,0.000000E+00,4.044495E+09,1.623386E+09,9.543641E+08,6.497318E+08
2.072922E-04,0.000000E+00,4.085170E+09,1.639716E+09,9.639651E+08,6.562685E+08
2.247806E-04,0.000000E+00,4.127438E+09,1.656686E+09,9.739423E+08,6.630612E+08
2.437444E-04,0.000000E+00,4.171368E+09,1.674323E+09,9.843119E+08,6.701211E+08
2.643081E-04,0.000000E+00,4.217031E+09,1.692657E+09,9.950912E+08,6.774599E+08
2.866068E-04,0.000000E+00,4.264504E+09,1.711717E+09,1.006298E+09,6.850897E+08
3.107866E-04,0.000000E+00,4.313864E+09,1.731536E+09,1.017950E+09,6.930232E+08
3.370064E-04,0.000000E+00,4.365194E+09,1.752146E+09,1.030068E+09,7.012736E+08
3.654383E-04,0.000000E+00,4.418579E+09,1.773582E+09,1.042672E+09,7.098546E+08
3.962689E-04,0.000000E+00,4.474108E+09,1.795879E+09,1.055782E+09,7.187806E+08
4.297005E-04,0.000000E+00,4.531874E+09,1.819076E+09,1.069421E+09,7.280668E+08
4.659526E-04,0.000000E+00,4.591975E+09,1.843210E+09,1.083612E+09,7.377286E+08
5.052631E-04,0.000000E+00,4.654511E+09,1.868324E+09,1.098379E+09,7.477826E+08
5.478901E-04,0.000000E+00,4.719588E+09,1.894459E+09,1.113746E+09,7.582457E+08
5.941134E-04,0.000000E+00,4.787316E+09,1.921660E+09,1.129741E+09,7.691358E+08
6.442364E-04,0.000000E+00,4.857810E+09,1.949973E+09,1.146390E+09,7.804714E+08
6.985880E-04,0.000000E+00,4.931190E+09,1.979447E+09,1.163721E+09,7.922720E+08
7.575250E-04,0.000000E+00,5.007580E+09,2.010131E+09,1.181765E+09,8.045576E+08
8.214344E-04,0.000000E+00,5.087111E+09,2.042079E+09,1.200552E+09,8.173496E+08
8.907355E-04,0.000000E+00,5.169918E+09,2.075345E+09,1.220115E+09,8.306698E+08
9.658832E-04,0.000000E+00,5.256143E+09,2.109986E+09,1.240487E+09,8.445413E+08
1.047371E-03,0.000000E+00,5.345933E+09,2.146063E+09,1.261704E+09,8.589880E+08
1.135733E-03,0.000000E+00,5.439441E+09,2.183636E+09,1.283802E+09,8.740349E+08
1.231551E-03,0.000000E+00,5.536828E+09,2.222772E+09,1.306820E+09,8.897081E+08
1.335452E-03,0.000000E+00,5.638261E+09,2.263537E+09,1.330797E+09,9.060349E+08
1.448118E-03,0.000000E+00,5.743912E+09,2.306003E+09,1.355775E+09,9.230435E+08
1.570290E-03,0.000000E+00,5.853962E+09,2.350242E+09,1.381797E+09,9.407637E+08
1.702769E-03,0.000000E+00,5.968601E+09,2.396332E+09,1.408909E+09,9.592263E+08
1.846425E-03,0.000000E+00,6.088023E+09,2.444351E+09,1.437158E+09,9.784635E+08
2.002200E-03,0.000000E+00,6.212432E+09,2.494384E+09,1.466593E+09,9.985088E+08
2.171118E-03,0.000000E+00,6.342040E+09,2.546517E+09,1.497265E+09,1.019397E+09
2.354286E-03,0.000000E+00,6.477068E+09,2.600840E+09,1.529228E+09,1.041166E+09
2.552908E-03,0.000000E+00,6.617744E+09,2.657446E+09,1.562538E+09,1.063852E+09
2.768287E-03,0.000000E+00,6.764306E+09,2.716435E+09,1.597252E+09,1.087495E+09
3.001836E-03,0.000000E+00,6.917001E+09,2.777908E+09,1.633431E+09,1.112137E+09
3.255089E-03,0.000000E+00,7.076085E+09,2.841970E+09,1.671139E+09,1.137821E+09
3.529707E-03,0.000000E+00,7.241823E+09,2.908732E+09,1.710440E+09,1.164592E+09
3.827494E-03,0.000000E+00,7.414490E+09,2.978309E+09,1.751403E+09,1.192497E+09
4.150405E-03,0.000000E+00,7.594371E+09,3.050820E+09,1.794099E+09,1.221584E+09
4.500558E-03,0.000000E+00,7.781761E+09,3.126388E+09,1.838602E+09,1.251903E+09
4.880252E-03,0.000000E+00,7.976962E+09,3.205141E+09,1.884989E+09,1.283509E+09
5.291979E-03,0.000000E+00,8.180289E+09,3.287214E+09,1.933340E+09,1.316455E+09
5.738442E-03,0.000000E+00,8.392063E+09,3.372744E+09,1.983739E+09,1.350799E+09
6.222571E-03,0.000000E+00,8.612618E+09,3.461875E+09,2.036271E+09,1.386600E+09
6.747544E-03,0.000000E+00,8.842294E+09,3.554754E+09,2.091026E+09,1.423920E+09
7.316807E-03,0.000000E+00,9.081439E+09,3.651535E+09,2.148097E+09,1.462824E+09
7.934097E-03,0.000000E+00,9.330408E+09,3.752376E+09,2.207581E+09,1.503377E+09
8.603464E-03,0.000000E+00,9.589564E+09,3.857440E+09,2.269578E+09,1.545649E+09
9.329304E-03,0.000000E+00,9.859275E+09,3.966896E+09,2.334190E+09,1.589712E+09
1.011638E-02,0.000000E+00,1.013991E+10,4.080916E+09,2.401525E+09,1.635640E+09
1.096986E-02,0.000000E+00,1.043185E+10,4.199678E+09,2.471694E+09,1.683509E+09
1.189534E-02,0.000000E+00,1.073546E+10,4.323362E+09,2.544810E+09,1.733400E+09
1.289890E-02,0.000000E+00,1.105112E+10,4.452155E+09,2.620990E+09,1.785394E+09
1.398713E-02,0.000000E+00,1.137918E+10,4.586245E+09,2.700354E+09,1.839576E+09
1.516717E-02,0.000000E+00,1.172001E+10,4.725823E+09,2.783027E+09,1.896034E+09
1.644676E-02,0.000000E+00,1.207394E+10,4.871083E+09,2.869135E+09,1.954856E+09
1.783431E-02,0.000000E+00,1.244129E+10,5.022217E+09,2.958806E+09,2.016135E+09
1.933892E-02,0.000000E+00,1.282236E+10,5.179421E+09,3.052171E+09,2.079966E+09
2.097046E-02,0.000000E+00,1.321741E+10,5.342888E+09,3.149364E+09,2.146443E+09
2.273966E-02,0.000000E+00,1.362666E+10,5.512805E+09,3.250518E+09,2.215666E+09
2.465811E-02,0.000000E+00,1.405027E+10,5.689355E+09,3.355766E+09,2.287732E+09
2.673842E-02,0.000000E+00,1.448834E+10,5.872712E+09,3.465243E+09,2.362742E+09
2.899423E-02,0.000000E+00,1.494091E+10,6.063040E+09,3.579082E+09,2.440796E+09
3.144035E-02,0.000000E+00,1.540792E+10,6.260490E+09,3.697411E+09,2.521994E+09
3.409285E-02,0.000000E+00,1.588919E+10,6.465196E+09,3.820356E+09,2.606436E+09
3.696913E-02,0.000000E+00,1.638439E+10,6.677267E+09,3.948035E+09,2.694217E+09
4.008806E-02,0.000000E+00,1.689310E+10,6.896780E+09,4.080560E+09,2.785431E+09
4.347013E-02,0.000000E+00,1.741469E+10,7.123783E+09,4.218029E+09,2.880169E+09
4.713753E-02,0.000000E+00,1.794829E+10,7.358284E+09,4.360528E+09,2.978512E+09
5.111433E-02,1.223387E+12,1.849288E+10,7.600232E+09,4.508125E+09,3.080536E+09
5.542665E-02,1.130371E+12,1.904709E+10,7.849533E+09,4.660867E+09,3.186305E+09
6.010277E-02,1.044427E+12,1.960935E+10,8.106010E+09,4.818777E+09,3.295872E+09
6.517340E-02,9.650180E+11,2.017762E+10,8.369417E+09,4.981842E+09,3.409268E+09
7.067181E-02,8.902805E+11,2.074959E+10,8.639396E+09,5.150015E+09,3.526515E+09
7.663411E-02,8.119686E+11,2.132249E+10,8.915506E+09,5.323204E+09,3.647605E+09
8.309942E-02,7.405452E+11,2.189314E+10,9.197171E+09,5.501272E+09,3.772504E+09
9.011018E-02,6.754045E+11,2.245784E+10,9.483668E+09,5.684009E+09,3.901144E+09
9.771242E-02,6.159937E+11,2.301235E+10,9.774145E+09,5.871143E+09,4.033419E+09
1.059560E-01,5.610820E+11,2.355194E+10,1.006756E+10,6.062318E+09,4.169175E+09
1.148951E-01,5.108007E+11,2.407129E+10,1.036267E+10,6.257086E+09,4.308202E+09
1.245883E-01,4.650253E+11,2.456458E+10,1.065806E+10,6.454887E+09,4.450223E+09
1.350994E-01,4.233521E+11,2.502533E+10,1.095209E+10,6.655048E+09,4.594906E+09
1.464971E-01,3.854134E+11,2.544675E+10,1.124284E+10,6.856747E+09,4.741829E+09
1.588565E-01,3.458735E+11,2.582132E+10,1.152826E+10,7.059042E+09,4.890464E+09
1.722586E-01,3.085600E+11,2.614122E+10,1.180596E+10,7.260818E+09,5.040183E+09
1.867914E-01,2.752720E+11,2.639831E+10,1.207341E+10,7.460781E+09,5.190283E+09
2.025502E-01,2.460410E+11,2.658414E+10,1.232788E+10,7.657414E+09,5.339944E+09
2.196385E-01,2.221729E+11,2.668987E+10,1.256651E+10,7.849072E+09,5.488234E+09
2.381686E-01,2.006202E+11,2.670648E+10,1.278634E+10,8.033856E+09,5.634020E+09
2.582619E-01,1.811584E+11,2.662695E+10,1.298405E+10,8.209666E+09,5.776077E+09
2.800504E-01,1.635844E+11,2.645686E+10,1.315479E+10,8.374219E+09,5.912997E+09
3.036771E-01,1.475408E+11,2.619575E+10,1.329458E+10,8.525014E+09,6.043229E+09
3.292971E-01,1.321848E+11,2.584348E+10,1.339957E+10,8.659341E+09,6.165083E+09
3.570786E-01,1.184270E+11,2.540210E+10,1.346619E+10,8.774370E+09,6.276735E+09
3.872039E-01,1.061011E+11,2.487597E+10,1.349090E+10,8.867097E+09,6.376256E+09
4.198707E-01,9.505814E+10,2.427209E+10,1.347056E+10,8.934383E+09,6.461586E+09
4.552935E-01,8.516450E+10,2.360113E+10,1.340241E+10,8.972955E+09,6.530655E+09
4.937048E-01,7.630059E+10,2.287893E+10,1.328404E+10,8.981249E+09,6.581306E+09
5.353567E-01,6.761016E+10,2.211111E+10,1.311348E+10,8.958205E+09,6.611445E+09
5.805226E-01,5.978726E+10,2.128070E+10,1.288896E+10,8.902050E+09,6.618970E+09
6.294989E-01,5.286951E+10,2.039491E+10,1.260865E+10,8.811392E+09,6.601878E+09
6.826072E-01,4.675219E+10,1.946115E+10,1.227117E+10,8.685208E+09,6.558261E+09
7.401960E-01,4.166115E+10,1.848537E+10,1.188708E+10,8.522873E+09,6.486210E+09
8.026434E-01,3.725310E+10,1.746878E+10,1.146209E+10,8.324042E+09,6.383816E+09
8.703591E-01,3.331145E+10,1.640697E+10,1.099982E+10,8.088439E+09,6.248845E+09
9.437878E-01,2.978686E+10,1.534040E+10,1.050369E+10,7.815474E+09,6.078293E+09
1.023411E+00,2.656491E+10,1.428581E+10,9.976356E+09,7.503262E+09,5.877639E+09
1.109752E+00,2.353550E+10,1.324847E+10,9.418140E+09,7.147271E+09,5.655065E+09
1.203378E+00,2.085156E+10,1.222933E+10,8.822991E+09,6.764552E+09,5.412876E+09
1.304902E+00,1.847369E+10,1.121808E+10,8.187851E+09,6.369808E+09,5.153565E+09
1.414991E+00,1.636698E+10,1.017289E+10,7.560190E+09,5.967176E+09,4.879554E+09
1.534368E+00,1.440859E+10,9.166989E+09,6.948747E+09,5.560071E+09,4.592621E+09
1.663817E+00,1.247847E+10,8.233497E+09,6.356183E+09,5.150069E+09,4.297460E+09
1.804186E+00,1.080689E+10,7.368504E+09,5.780882E+09,4.743541E+09,4.000823E+09
1.956398E+00,9.359236E+09,6.558909E+09,5.231712E+09,4.348962E+09,3.705710E+09
2.121452E+00,8.069829E+09,5.817195E+09,4.716718E+09,3.968914E+09,3.414605E+09
2.300430E+00,6.946596E+09,5.146305E+09,4.236338E+09,3.605014E+09,3.129190E+09
2.494508E+00,5.979704E+09,4.541192E+09,3.789604E+09,3.257383E+09,2.849457E+09
2.704960E+00,5.147394E+09,3.995353E+09,3.372565E+09,2.921865E+09,2.571739E+09
2.933166E+00,4.430932E+09,3.491092E+09,2.972213E+09,2.597776E+09,2.306939E+09
3.180626E+00,3.772437E+09,3.022943E+09,2.606524E+09,2.301156E+09,2.060845E+09
3.448962E+00,3.198207E+09,2.612910E+09,2.279554E+09,2.031372E+09,1.833644E+09
3.739937E+00,2.711385E+09,2.254689E+09,1.988355E+09,1.787214E+09,1.625033E+09
4.055461E+00,2.298666E+09,1.942382E+09,1.729834E+09,1.567038E+09,1.434260E+09
4.397604E+00,1.948769E+09,1.670451E+09,1.500584E+09,1.368625E+09,1.259718E+09
4.768612E+00,1.652133E+09,1.432935E+09,1.295467E+09,1.186849E+09,1.096126E+09
5.170920E+00,1.390035E+09,1.213555E+09,1.103468E+09,1.016908E+09,9.448081E+08
5.607170E+00,1.157042E+09,1.022426E+09,9.368790E+08,8.688776E+08,8.117079E+08
6.080224E+00,9.631030E+08,8.602646E+08,7.936897E+08,7.401645E+08,6.947476E+08
6.593188E+00,8.016710E+08,7.225005E+08,6.701142E+08,6.274249E+08,5.907907E+08
7.149429E+00,6.623210E+08,5.981239E+08,5.560083E+08,5.219024E+08,4.928070E+08
7.752597E+00,5.357047E+08,4.883520E+08,4.568313E+08,4.310880E+08,4.089715E+08
8.406653E+00,4.332936E+08,3.983785E+08,3.748084E+08,3.554042E+08,3.386199E+08
9.115888E+00,3.504606E+08,3.247007E+08,3.070631E+08,2.924307E+08,2.796889E+08
9.884959E+00,2.834628E+08,2.642519E+08,2.508516E+08,2.396285E+08,2.298195E+08
1.071891E+01,2.271300E+08,2.129087E+08,2.029786E+08,1.946588E+08,1.873499E+08
1.162322E+01,1.817076E+08,1.713740E+08,1.640661E+08,1.579092E+08,1.524718E+08
1.260383E+01,1.453690E+08,1.378576E+08,1.324827E+08,1.279253E+08,1.238838E+08
1.366716E+01,1.162975E+08,1.108281E+08,1.068660E+08,1.034839E+08,1.004703E+08
1.482021E+01,9.303989E+07,8.897901E+07,8.598166E+07,8.339591E+07,8.107235E+07
1.607053E+01,7.296810E+07,6.996653E+07,6.776452E+07,6.587351E+07,6.418208E+07
1.742633E+01,5.702778E+07,5.490349E+07,5.332707E+07,5.196628E+07,5.074539E+07
1.889652E+01,4.456972E+07,4.306216E+07,4.193010E+07,4.094781E+07,4.006317E+07
2.049075E+01,3.465072E+07,3.354527E+07,3.271095E+07,3.198714E+07,3.133484E+07
2.221947E+01,2.660995E+07,2.584358E+07,2.525838E+07,2.474962E+07,2.428884E+07
2.409404E+01,2.043506E+07,1.990411E+07,1.949371E+07,1.913596E+07,1.881087E+07
2.612675E+01,1.569307E+07,1.532405E+07,1.503718E+07,1.478519E+07,1.455567E+07
2.833096E+01,1.205146E+07,1.179409E+07,1.159194E+07,1.141334E+07,1.125009E+07
3.072113E+01,9.155633E+06,8.963457E+06,8.812920E+06,8.679883E+06,8.558366E+06
3.331295E+01,6.777213E+06,6.649100E+06,6.548004E+06,6.458214E+06,6.375935E+06
3.612343E+01,5.016650E+06,4.931270E+06,4.863466E+06,4.802930E+06,4.747223E+06
3.917101E+01,3.713441E+06,3.656550E+06,3.611136E+06,3.570293E+06,3.532660E+06
4.247572E+01,2.748776E+06,2.710868E+06,2.680453E+06,2.652925E+06,2.627545E+06
4.605922E+01,2.034708E+06,2.009436E+06,1.989020E+06,1.970506E+06,1.953353E+06
4.994505E+01,1.506138E+06,1.488826E+06,1.474770E+06,1.461897E+06,1.449925E+06
5.415871E+01,1.095940E+06,1.084424E+06,1.075167E+06,1.066677E+06,1.058762E+06
5.872787E+01,7.972711E+05,7.897217E+05,7.836675E+05,7.780823E+05,7.727829E+05
6.368250E+01,5.799966E+05,5.750435E+05,5.710686E+05,5.673223E+05,5.638322E+05
6.905514E+01,4.219344E+05,4.185989E+05,4.158907E+05,4.133544E+05,4.109602E+05
7.488104E+01,2.915209E+05,2.892043E+05,2.873593E+05,2.856380E+05,2.840155E+05
8.119845E+01,1.993331E+05,1.979022E+05,1.967724E+05,1.957124E+05,1.947092E+05
8.804884E+01,1.362978E+05,1.354128E+05,1.347218E+05,1.340700E+05,1.334507E+05
9.547716E+01,9.319629E+04,9.264804E+04,9.221957E+04,9.180782E+04,9.141826E+04
